Isabella Alas,Harvard,23.33,50.38,109.24,310.63,NA,59.17,126.67,65.40,152.14,54.69,130.87,122.93,285.10
Gabi Augustyn,Harvard,24.52,52.32,110.76,299.58,683.65,56.45,120.48,61.39,132.45,60.42,129.19,119.51,259.12
Alexandra Bastone,Harvard,24.38,52.43,105.99,278.75,570.27,60.65,122.50,72.86,152.66,57.98,130.26,124.15,252.51
Sarah Beckman,Harvard,22.91,50.06,109.01,307.91,NA,58.15,129.49,77.24,NA,53.62,130.41,132.67,NA
Lizzie Brock,Harvard,24.24,52.37,109.57,289.90,607.57,57.81,121.71,69.17,146.27,58.19,124.18,125.21,259.97
Carolina Daher,Harvard,23.33,50.38,106.28,282.98,588.69,57.31,126.36,62.28,134.90,55.95,124.07,121.02,258.80
Ro Dudevoir,Harvard,26.37,56.02,117.75,323.05,668.77,63.46,139.16,71.81,169.63,58.37,128.83,132.36,295.69
Payton Foster,Harvard,24.56,50.95,108.43,291.89,610.99,56.01,118.69,69.48,143.64,57.20,126.88,120.00,252.94
Kristín Helga Hákonardóttir,Harvard,23.18,50.34,110.40,307.51,NA,NA,NA,NA,NA,55.51,128.36,NA,NA
Davina Huang,Harvard,23.75,52.63,114.45,307.23,631.98,59.13,127.76,67.36,141.80,54.78,120.70,123.13,269.51
Stephanie Iannacone,Harvard,24.22,51.21,109.78,NA,NA,58.32,124.51,62.02,133.28,54.62,120.17,119.61,253.98
Sydney Lu,Harvard,22.56,49.47,106.50,291.81,607.73,59.05,131.21,63.54,140.55,51.97,116.25,120.67,259.44
Aliana Marakovic,Harvard,23.15,49.69,107.29,286.31,651.27,56.48,123.05,61.15,131.08,55.58,121.90,119.89,259.35
Kaylee Mcdonald,Harvard,23.48,50.65,108.03,291.73,638.71,62.26,131.37,70.69,146.32,55.30,120.52,124.30,261.31
Anya Mostek,Harvard,22.18,48.68,106.56,293.97,NA,51.31,112.70,64.38,135.97,56.39,127.71,118.93,257.10
Hazel Mouhidin,Harvard,23.69,51.11,109.43,293.81,608.48,58.72,124.68,66.97,145.33,55.06,117.34,123.26,258.39
